Person_id,Survey_date,round,status,tenure,geography,province,schoolquintile,additional_lang,home_lang,science,female,sa_citizen,Birthyear,Birthmonth,Target,mathf,mathlitf,math_achieved,mathlit_achieved,educ,year,age
Id_bjtvostcww,2/17/2023,4,unemployed,365,Urban,Gauteng,4,50 - 59 %,,,0,1,2000,1,1,1,0,0,0,1,2023,23
Id_yvzil0ca5k,8/11/2021,1,studying,,Urban,Gauteng,,,,,1,1,2000,4,1,0,0,0,0,0,2021,21
Id_bqjzb9e2sp,3/18/2022,2,wage employed,125,Suburb,Limpopo,,50 - 59 %,,50 - 59 %,0,1,2000,1,0,1,0,0,0,1,2022,22
Id_trpadp7n0e,3/6/2023,4,studying,,Urban,Western Cape,3,,,,1,1,2004,8,0,0,0,0,0,0,2023,19
Id_1krlaslg3m,2/13/2023,4,studying,,Urban,Eastern Cape,4,50 - 59 %,,,0,1,1994,11,1,0,1,0,0,1,2023,29
Id_5we1xxc82q,8/11/2022,3,other,,Rural,Limpopo,1,,,,0,1,1992,3,1,0,0,0,0,0,2022,30
Id_h31135txix,2/23/2022,2,studying,,Urban,Gauteng,2,,40 - 49 %,,1,1,2001,1,0,0,0,0,0,1,2022,21
Id_7nq9t8h22c,3/11/2022,2,wage employed,119,Urban,Free State,,50 - 59 %,,,1,1,2000,1,0,0,0,0,0,1,2022,22
Id_60bak15b2g,8/1/2022,3,unemployed,583,Rural,Limpopo,2,50 - 59 %,,,1,1,1999,5,0,0,1,0,0,1,2022,23
Id_7zp71bqshg,2/8/2023,4,unemployed,401,Rural,Mpumalanga,,40 - 49 %,,,0,1,2000,5,0,0,1,0,0,1,2023,23
Id_m98a9kc6us,2/21/2023,4,unemployed,401,Rural,KwaZulu-Natal,3,50 - 59 %,,,0,1,2002,7,0,0,1,0,0,1,2023,21
Id_4hhmh7p1pe,2/7/2023,4,wage employed,396,Urban,Mpumalanga,4,,50 - 59 %,0 - 29 %,1,1,2000,1,0,1,0,0,0,1,2023,23
Id_yuwtc72lrc,2/22/2023,4,unemployed,707,Urban,KwaZulu-Natal,4,60 - 69 %,,30 - 39 %,0,1,1996,8,0,1,0,0,0,1,2023,27
Id_6jmt7mdvzq,7/29/2022,3,other,,Rural,Limpopo,,,,,0,1,1993,7,1,0,0,0,0,0,2022,29
Id_fo3o68q6zj,2/13/2023,4,self employed,,Urban,North West,3,30 - 39 %,,,0,1,2003,9,1,0,1,0,0,1,2023,20
Id_h3g4kwf6sb,3/15/2022,2,unemployed,1205,Urban,Limpopo,1,60 - 69 %,,,1,1,2000,1,0,0,1,0,0,3,2022,22
Id_9r91y11bh9,8/10/2022,3,studying,,Urban,KwaZulu-Natal,2,60 - 69 %,,30 - 39 %,1,1,2004,2,0,1,0,0,0,1,2022,18
Id_u4psfhi3pe,3/3/2022,2,studying,,Urban,KwaZulu-Natal,4,50 - 59 %,,,1,1,2000,1,0,0,0,0,0,2,2022,22
Id_m0tzon3dlw,9/3/2022,3,unemployed,309,Urban,Gauteng,4,40 - 49 %,,,1,1,1992,5,0,0,1,0,0,1,2022,30
Id_spgk0jd93e,2/17/2023,4,wage employed,59,Urban,KwaZulu-Natal,4,60 - 69 %,,0 - 29 %,1,1,2000,1,0,0,0,0,0,1,2023,23
Id_bbahtzvpl8,8/19/2021,1,studying,,Urban,Eastern Cape,,,,,0,1,2001,4,0,0,0,,,0,2021,20
Id_adthc97v63,8/19/2021,1,studying,,Urban,Western Cape,,,,,1,1,1999,10,0,0,0,,,0,2021,22
Id_h3nbp8l8nx,3/8/2023,4,unemployed,2256,Rural,Limpopo,,,,,1,1,1994,6,0,0,0,0,0,0,2023,29
Id_3edx8npgyr,3/14/2023,4,unemployed,2986,Rural,Northern Cape,,,,,1,1,1995,10,0,0,0,0,0,0,2023,28
Id_sz50wmv0v6,3/2/2023,4,unemployed,184,Urban,Gauteng,1,40 - 49 %,,0 - 29 %,1,1,2000,1,0,0,0,0,0,1,2023,23
Id_nueyy3t7nh,3/2/2023,4,studying,,Urban,Gauteng,5,,50 - 59 %,,1,1,2000,1,1,0,1,0,0,2,2023,23
Id_zuvbs6aihl,8/8/2022,3,unemployed,644,Suburb,KwaZulu-Natal,3,60 - 69 %,,70 - 79 %,0,1,1995,9,0,1,0,1,0,3,2022,27
Id_5fr0lqothg,3/3/2022,2,studying,,Urban,Gauteng,5,,60 - 69 %,,1,1,2000,1,1,0,1,0,0,2,2022,22
Id_bol3k3wkl1,2/13/2023,4,studying,,Urban,Gauteng,,50 - 59 %,,40 - 49 %,0,1,2000,1,0,1,0,0,0,1,2023,23
Id_dssc0ea0vi,2/8/2023,4,unemployed,273,Urban,KwaZulu-Natal,1,50 - 59 %,,,0,1,2002,5,1,0,1,0,0,1,2023,21
Id_0wc81ljcou,3/15/2022,2,studying,,Urban,KwaZulu-Natal,2,60 - 69 %,,,1,1,2000,1,1,1,0,0,0,1,2022,22
Id_fg3tli4uga,2/17/2023,4,wage employed,273,Urban,North West,2,50 - 59 %,,,1,1,1997,3,0,0,1,0,0,1,2023,26
Id_j86tj7hbal,8/18/2021,1,studying,,Urban,KwaZulu-Natal,3,70 - 79 %,,,1,1,1993,12,0,0,0,0,0,1,2021,28
Id_y0o8gpsdag,8/3/2022,3,unemployed,1984,Urban,KwaZulu-Natal,3,,,,1,1,1991,3,0,0,0,0,0,0,2022,31
Id_n0wxp4yl7o,9/3/2022,3,unemployed,248,Suburb,Limpopo,2,60 - 69 %,,,1,1,1998,11,0,0,1,0,0,1,2022,24
Id_6xl6wv2mwd,3/4/2022,2,unemployed,798,Rural,KwaZulu-Natal,3,60 - 69 %,,50 - 59 %,1,1,2000,1,0,1,0,0,0,1,2022,22
Id_cebpdobvqm,3/27/2023,4,wage employed,31,Urban,Mpumalanga,,,,,1,1,1994,5,0,0,0,,,0,2023,29
Id_33k4yejdu7,7/29/2022,3,studying,,Suburb,Gauteng,3,,50 - 59 %,30 - 39 %,1,1,2002,9,0,1,0,0,0,1,2022,20
Id_q0t88re0xa,3/13/2023,4,unemployed,429,Urban,Free State,,,,,1,1,1998,10,0,0,0,,,0,2023,25
Id_lyb0hna28v,3/17/2022,2,wage employed,95,Urban,Western Cape,,,40 - 49 %,,0,1,2000,1,1,0,1,0,0,1,2022,22
Id_l2m4t2nkpo,2/14/2023,4,wage employed,273,Rural,Gauteng,1,50 - 59 %,,,0,1,2000,1,0,0,1,0,0,1,2023,23
Id_p0mzggtf8f,8/18/2021,1,unemployed,974,Urban,KwaZulu-Natal,5,50 - 59 %,,,1,1,1999,6,0,0,1,0,0,1,2021,22
Id_m8p8fryb2z,3/17/2023,4,unemployed,1009,Rural,Limpopo,1,,,,1,1,1996,3,0,0,0,0,0,0,2023,27
Id_0j9fh0d1jg,3/20/2023,4,unemployed,1890,Rural,Limpopo,,,,,1,1,1994,5,0,0,0,,,0,2023,29
Id_span0zo82s,2/25/2022,2,wage employed,365,Urban,Gauteng,4,60 - 69 %,,40 - 49 %,1,1,1994,3,1,1,0,0,0,1,2022,28
Id_wxgvcd5k8r,3/18/2022,2,unemployed,0,Suburb,Eastern Cape,1,50 - 59 %,,,0,1,2000,1,1,1,0,0,0,1,2022,22
Id_nz21tfi905,2/13/2023,4,unemployed,281,Suburb,Northern Cape,,,,,1,1,1997,2,0,0,0,,,0,2023,26
Id_slv6oob5n6,3/14/2022,2,unemployed,828,Suburb,Mpumalanga,1,,,,1,1,2000,1,0,0,0,0,0,0,2022,22
Id_gsilqzgpwz,2/8/2023,4,studying,,Urban,Limpopo,,,,,0,1,1996,9,0,0,0,,,0,2023,27
Id_m7m162sqkw,8/17/2021,1,wage employed,0,Urban,Free State,4,50 - 59 %,,40 - 49 %,0,1,1992,10,0,1,0,0,0,1,2021,29
Id_b08k8p9rqu,3/20/2023,4,wage employed,61,Urban,Western Cape,2,,,,1,1,1999,6,1,0,0,0,0,0,2023,24
Id_imrl487iyu,8/11/2021,1,wage employed,0,Urban,Gauteng,2,,,,1,1,1986,10,0,0,0,0,0,0,2021,35
Id_mdqtl3vdve,2/10/2023,4,unemployed,730,Urban,Free State,2,50 - 59 %,,,0,1,2000,1,1,0,0,0,0,1,2023,23
Id_xg0l2q8z58,8/12/2022,3,studying,,Urban,Gauteng,5,,,,1,1,2001,10,0,0,0,0,0,1,2022,21
Id_oentzh28on,3/6/2023,4,studying,,Rural,Eastern Cape,1,60 - 69 %,,40 - 49 %,0,1,2001,4,0,1,0,0,0,1,2023,22
Id_o3nd90871r,2/25/2022,2,wage employed,196,Urban,Free State,4,50 - 59 %,,,1,1,1992,9,0,0,1,0,0,1,2022,30
Id_du1ur01kqv,3/14/2023,4,unemployed,1127,Urban,Eastern Cape,,,,,1,1,1989,11,1,0,0,,,0,2023,34
Id_8cl4tp6kzu,2/16/2023,4,studying,,Urban,Gauteng,,,,,0,1,2000,8,1,0,0,,,0,2023,23
Id_y997h5mfq9,8/8/2022,3,unemployed,66,Suburb,Gauteng,,,,,1,1,1993,4,0,0,0,0,0,0,2022,29
Id_os6gvn8cxv,2/24/2023,4,studying,,Urban,Gauteng,3,60 - 69 %,,,0,1,2000,11,0,1,0,0,0,1,2023,23
Id_y6jxxp2xw2,2/10/2023,4,wage employed,730,Urban,KwaZulu-Natal,,60 - 69 %,,,0,1,2000,1,1,0,0,0,0,1,2023,23
Id_9nlqytufam,3/11/2022,2,studying,,Urban,Gauteng,4,40 - 49 %,,,1,1,2000,1,0,0,1,0,0,1,2022,22
Id_tg1zeet3pl,3/2/2023,4,studying,,Urban,Eastern Cape,3,50 - 59 %,,60 - 69 %,1,1,2000,1,1,1,0,0,0,1,2023,23
Id_8o7nt2544q,8/18/2021,1,studying,,Rural,North West,3,,,,0,1,2000,1,0,0,0,0,0,1,2021,21
Id_ytyrfab5z7,3/1/2022,2,unemployed,593,Urban,Western Cape,2,,,,0,1,1995,5,0,0,0,0,0,2,2022,27
Id_uhiox0jm99,3/17/2022,2,unemployed,1176,Suburb,Limpopo,1,60 - 69 %,,,0,1,2000,1,0,0,1,0,0,1,2022,22
Id_ioczu2z0yo,3/23/2023,4,studying,,Urban,Gauteng,,60 - 69 %,,50 - 59 %,1,1,2000,4,0,1,0,0,0,1,2023,23
Id_2x5345k6d5,2/24/2022,2,unemployed,339,Suburb,Eastern Cape,,,,,1,1,1994,5,0,0,0,0,0,0,2022,28
Id_rv5old1lw3,2/20/2023,4,unemployed,36,Urban,Mpumalanga,5,,50 - 59 %,,0,1,2003,1,0,1,0,0,0,1,2023,20
Id_ux800ms4mu,3/7/2022,2,studying,,Urban,KwaZulu-Natal,,,,,0,1,2000,1,0,0,0,,,0,2022,22
Id_kwc72kzbl5,3/7/2022,2,unemployed,192,Urban,Gauteng,5,,50 - 59 %,,0,1,2000,1,1,0,1,0,0,1,2022,22
Id_02bh4t21tf,8/8/2022,3,unemployed,248,Urban,Mpumalanga,2,50 - 59 %,,50 - 59 %,0,1,1997,10,0,1,0,0,0,1,2022,25
Id_9ugu0dvb8c,3/3/2023,4,studying,,Urban,Free State,,,,,0,1,2000,1,0,0,0,,,0,2023,23
Id_cpbr0geefs,8/11/2022,3,studying,,Urban,Gauteng,,,50 - 59 %,,0,1,2003,8,0,1,0,0,0,1,2022,19
Id_hpwytdr9ri,3/1/2023,4,unemployed,1247,Rural,Limpopo,1,,,,1,1,2000,1,0,0,0,0,0,0,2023,23
Id_cpmxadltej,2/13/2023,4,studying,,Urban,Gauteng,,,,,0,1,1996,3,0,0,0,,,0,2023,27
Id_8g3fz1vgok,3/17/2023,4,wage employed,30,Urban,Free State,3,50 - 59 %,,,1,1,2002,11,0,0,1,0,0,1,2023,21
Id_ed0akksn7y,8/4/2022,3,wage employed,,Urban,Gauteng,3,40 - 49 %,,,0,1,2000,4,0,0,1,0,0,1,2022,22
Id_jb4pmpnkup,3/4/2022,2,self employed,220,Urban,KwaZulu-Natal,3,50 - 59 %,,,1,1,2000,1,1,0,0,0,0,1,2022,22
Id_fmvc4o7h6h,3/1/2023,4,unemployed,64,Rural,KwaZulu-Natal,1,30 - 39 %,,,0,1,2001,3,0,0,1,0,0,1,2023,22
Id_54xa1mc4c3,3/10/2022,2,wage employed,149,Urban,Northern Cape,1,60 - 69 %,,,1,1,2000,1,0,0,1,0,0,1,2022,22
Id_sfpm3f4y4m,2/10/2023,4,studying,,Urban,Gauteng,,,70 - 79 %,,1,1,2000,1,0,1,0,0,0,1,2023,23
Id_87qtey7w9s,3/7/2022,2,wage employed,120,Rural,KwaZulu-Natal,4,60 - 69 %,,,0,1,1997,4,0,0,0,0,0,1,2022,25
Id_g64eq59hz7,2/14/2023,4,unemployed,67,Urban,Limpopo,3,40 - 49 %,,,0,1,1999,11,0,0,1,0,0,1,2023,24
Id_8j8nr07g99,3/18/2022,2,studying,,Urban,Mpumalanga,3,60 - 69 %,,40 - 49 %,0,1,2000,1,1,1,0,0,0,1,2022,22
Id_a5vor8sxnj,8/2/2022,3,employment programme,,Urban,KwaZulu-Natal,1,40 - 49 %,,0 - 29 %,1,1,1995,6,0,0,1,0,0,1,2022,27
Id_f6u8sivl4x,3/15/2023,4,studying,,Urban,Limpopo,,60 - 69 %,,30 - 39 %,1,1,2000,7,0,1,0,0,0,1,2023,23
Id_klk5e034bg,8/4/2022,3,wage employed,,Urban,Gauteng,3,40 - 49 %,,,1,1,1993,3,0,0,1,0,0,1,2022,29
Id_9ymbrjd7yv,3/2/2022,2,studying,,Urban,Gauteng,3,,,,0,1,2002,12,0,0,0,0,0,1,2022,20
Id_v7imqdu1a0,2/28/2022,2,unemployed,1524,Urban,KwaZulu-Natal,1,,,,0,1,1993,11,0,0,0,0,0,1,2022,29
Id_1vpzdseya7,3/13/2023,4,studying,,Urban,Gauteng,,,,,1,1,1995,5,1,0,0,,,0,2023,28
Id_fzyfniagnj,2/25/2022,2,wage employed,3165,Suburb,Free State,1,40 - 49 %,,,1,1,1990,9,0,0,1,0,0,2,2022,32
Id_lesx0bkcgl,2/13/2023,4,unemployed,36,Urban,Gauteng,1,70 - 79 %,,,0,1,2000,1,0,0,1,0,0,2,2023,23
Id_o7ojzf8kcu,9/3/2022,3,unemployed,1193,Urban,Western Cape,5,,,,0,1,1994,4,0,0,0,0,0,2,2022,28
Id_hiepq1djfa,8/2/2022,3,other,,Suburb,Eastern Cape,3,60 - 69 %,,,1,1,2003,4,1,0,1,0,0,1,2022,19
Id_8en7brkkzi,3/14/2023,4,studying,,Urban,Limpopo,3,50 - 59 %,,,1,1,2000,8,0,0,1,0,0,1,2023,23
Id_2evca1q7rz,3/2/2022,2,unemployed,54,Suburb,Gauteng,,,,,0,1,1999,11,0,0,0,,,0,2022,23
Id_ebg3otm6is,8/15/2022,3,studying,,Urban,Free State,,40 - 49 %,,0 - 29 %,1,1,1998,7,0,0,0,0,0,1,2022,24
Id_p48tmrtufp,2/16/2023,4,studying,,Urban,Western Cape,,,,,0,1,1999,11,0,0,0,,,0,2023,24
Id_xkm8wetom9,3/16/2022,2,unemployed,1160,Rural,Limpopo,1,60 - 69 %,,40 - 49 %,1,1,2000,1,0,1,0,0,0,1,2022,22
Id_hpzj6qszld,2/14/2023,4,studying,,Suburb,Mpumalanga,,,,,0,1,2002,8,0,0,0,0,0,0,2023,21
Id_nelyndpx1o,3/22/2023,4,studying,,Urban,Limpopo,1,70 - 79 %,,40 - 49 %,1,1,2004,2,0,1,0,0,0,1,2023,19
Id_kgg71hspst,2/16/2023,4,unemployed,1163,Urban,KwaZulu-Natal,,40 - 49 %,,,0,1,2000,1,0,0,1,0,0,1,2023,23
Id_bvbqhxwkz7,2/20/2023,4,unemployed,1497,Urban,Free State,1,50 - 59 %,,,0,1,1997,4,0,0,1,0,0,1,2023,26
Id_kquffoz1v9,8/2/2022,3,wage employed,,Urban,North West,,,,,1,1,1988,7,0,0,0,,,0,2022,34
Id_4sudgrh3bb,8/12/2022,3,unemployed,1313,Urban,Eastern Cape,,40 - 49 %,,30 - 39 %,0,1,1995,9,0,1,0,0,0,1,2022,27
Id_8jac2rg92m,9/3/2022,3,other,,Urban,Eastern Cape,3,50 - 59 %,,,1,1,1999,12,1,0,1,0,0,1,2022,23
Id_a759mujfwe,2/13/2023,4,studying,,Urban,Free State,1,60 - 69 %,,80 - 100 %,0,1,2000,1,0,1,0,1,0,3,2023,23
Id_ic9nhiy918,8/1/2022,3,unemployed,614,Urban,Free State,,,,,0,1,1999,1,0,0,0,,,0,2022,23
Id_7b65639eg4,8/10/2022,3,unemployed,828,Suburb,Gauteng,3,60 - 69 %,,,1,1,1986,11,0,0,1,0,0,1,2022,36
Id_plvfd3ejqk,3/2/2022,2,wage employed,75,Urban,Free State,4,50 - 59 %,,,0,1,2002,7,0,0,1,0,0,1,2022,20
Id_4zwewy8i7s,2/21/2023,4,unemployed,5,Suburb,KwaZulu-Natal,,,,,0,1,1993,11,0,0,0,,,0,2023,30
Id_sxegilvrhi,2/13/2023,4,unemployed,311,Urban,KwaZulu-Natal,,40 - 49 %,,30 - 39 %,0,1,2000,1,0,0,0,0,0,1,2023,23
Id_2sdunljhqo,2/25/2022,2,studying,,Urban,Gauteng,,,,,0,1,2003,1,0,0,0,,,0,2022,19
Id_v7ro6ibymz,3/8/2022,2,unemployed,2801,Urban,KwaZulu-Natal,3,60 - 69 %,,0 - 29 %,0,1,1986,4,1,1,0,0,0,1,2022,36
Id_2q9ljt9ubm,3/9/2022,2,unemployed,1168,Suburb,Gauteng,1,50 - 59 %,,30 - 39 %,1,1,1999,12,0,1,0,0,0,1,2022,23
Id_cztc0vrkma,2/9/2023,4,unemployed,432,Urban,Limpopo,2,60 - 69 %,,,1,1,1995,12,0,0,1,0,0,1,2023,28
Id_3y0kfdsjzv,3/16/2023,4,unemployed,64,Urban,Mpumalanga,1,,,,1,1,1998,9,0,0,0,0,0,0,2023,25
Id_dmsras036v,3/22/2023,4,unemployed,795,Suburb,Limpopo,3,,,,1,1,1991,5,0,0,0,0,0,0,2023,32
Id_t1va2k91dz,8/1/2022,3,wage employed,,Rural,Mpumalanga,4,50 - 59 %,,,1,1,1997,8,0,0,1,0,0,1,2022,25
Id_fjjvmufhrh,3/1/2022,2,unemployed,1066,Rural,KwaZulu-Natal,0,,40 - 49 %,30 - 39 %,0,1,1992,8,1,0,0,0,0,1,2022,30
Id_rrozp4a5v1,8/18/2021,1,wage employed,0,Urban,Gauteng,3,,,,0,1,1992,9,0,0,0,0,0,0,2021,29
Id_fz5vs1laqb,2/8/2023,4,unemployed,36,Urban,Limpopo,2,60 - 69 %,,,1,1,1999,4,0,0,0,0,0,3,2023,24
Id_pgszt2mipn,3/15/2022,2,wage employed,760,Urban,Gauteng,3,50 - 59 %,,30 - 39 %,1,1,2000,1,0,1,0,0,0,1,2022,22
Id_uipdhqs8dx,2/9/2023,4,unemployed,1407,Rural,North West,3,,,,0,1,1996,11,0,0,0,0,0,0,2023,27
Id_c3co601i2a,2/22/2023,4,studying,,Urban,KwaZulu-Natal,,,,,0,1,2001,1,0,0,0,,,0,2023,22
Id_3vj9xb99r0,7/29/2022,3,other,,Rural,Limpopo,,,,,0,1,1991,2,1,0,0,,,0,2022,31
Id_i9vx5jlw9y,8/12/2022,3,self employed,,Urban,KwaZulu-Natal,4,,,,0,1,2002,8,0,0,0,0,0,1,2022,20
Id_t2qpwulagx,2/17/2023,4,wage employed,183,Urban,Mpumalanga,,,,,0,1,2002,1,0,0,0,,,0,2023,21
Id_ae0l1yyib4,2/9/2023,4,unemployed,61,Urban,Mpumalanga,2,60 - 69 %,,,1,1,1997,7,1,0,1,0,0,1,2023,26
Id_rycimwkdwn,2/15/2023,4,wage employed,1035,Urban,Mpumalanga,,,,,0,1,1992,8,0,0,0,,,0,2023,31
Id_26hq76e85r,2/22/2023,4,wage employed,608,Urban,North West,,60 - 69 %,,30 - 39 %,0,1,1996,1,0,1,0,0,0,2,2023,27
Id_svn8sgvuzw,2/7/2023,4,wage employed,396,Suburb,Gauteng,,60 - 69 %,,,1,1,2000,1,0,0,1,0,0,1,2023,23
Id_82oymvonzn,2/17/2023,4,wage employed,245,Urban,Free State,1,,,,0,1,1997,8,0,0,0,0,0,0,2023,26
Id_8rq8szw02t,2/17/2023,4,studying,,Urban,Gauteng,,40 - 49 %,,40 - 49 %,0,1,1996,6,1,1,0,0,0,1,2023,27
Id_myja3jvcca,2/7/2023,4,wage employed,1558,Rural,North West,,,,,0,1,1996,1,1,0,0,,,0,2023,27
Id_wsz7hqpl3x,2/23/2022,2,unemployed,789,Urban,Gauteng,3,,,,1,1,1999,3,0,0,0,0,0,0,2022,23
Id_p0r30sdll9,8/10/2022,3,other,,Rural,Limpopo,2,,,,0,1,1992,4,1,0,0,0,0,1,2022,30
